lt,zt,lc_lt_integrated,status,error,prob
24.5, 0.005, 0.493127, 0, 4.48397e-05, 0.0213077
24.5, 0.015, 0.492028, 0, 4.44738e-05, 0.0210068
24.5, 0.025, 0.490838, 0, 4.39683e-05, 0.0205469
24.5, 0.035, 0.489555, 0, 4.34716e-05, 0.0200768
24.5, 0.045, 0.488178, 0, 4.29741e-05, 0.0200487
24.5, 0.055, 0.486705, 0, 4.24015e-05, 0.0205938
24.5, 0.065, 0.485133, 0, 4.1902e-05, 0.0203803
24.5, 0.075, 0.483463, 0, 4.13668e-05, 0.02045
24.5, 0.085, 0.481691, 0, 4.08782e-05, 0.0199445
24.5, 0.095, 0.479817, 0, 4.04143e-05, 0.0202822
24.5, 0.105, 0.477837, 0, 3.99368e-05, 0.0196702
24.5, 0.115, 0.47575, 0, 3.9435e-05, 0.0211473
24.5, 0.125, 0.473554, 0, 3.89757e-05, 0.0189425
24.5, 0.135, 0.471247, 0, 3.85645e-05, 0.017808
24.5, 0.145, 0.468826, 0, 3.81039e-05, 0.0183218
24.5, 0.155, 0.463912, 0, 3.71683e-05, 0.016538
24.5, 0.165, 0.456656, 0, 3.57896e-05, 0.0167112
24.5, 0.175, 0.449502, 0, 3.44593e-05, 0.0189503
24.5, 0.185, 0.442465, 0, 3.33162e-05, 0.019545
24.5, 0.195, 0.435556, 0, 3.22455e-05, 0.0175279
24.5, 0.205, 0.426688, 0, 3.08724e-05, 0.017319
24.5, 0.215, 0.416028, 0, 2.92652e-05, 0.0157343
24.5, 0.225, 0.405723, 0, 2.79357e-05, 0.0146848
24.5, 0.235, 0.395764, 0, 2.66552e-05, 0.0130613
24.5, 0.245, 0.386142, 0, 2.54573e-05, 0.0129482
24.5, 0.255, 0.38255, 0, 2.44635e-05, 0.0161712
24.5, 0.265, 0.384638, 0, 2.38465e-05, 0.014014
24.5, 0.275, 0.386588, 0, 2.33633e-05, 0.0112467
24.5, 0.285, 0.388404, 0, 2.29353e-05, 0.00924865
24.5, 0.295, 0.390085, 0, 2.24334e-05, 0.0084935
24.5, 0.305, 0.391634, 0, 2.19889e-05, 0.00816503
24.5, 0.315, 0.393052, 0, 2.15802e-05, 0.0079427
24.5, 0.325, 0.394343, 0, 3.9196e-05, 0.0228187
24.5, 0.335, 0.395503, 0, 3.79692e-05, 0.0244017
24.5, 0.345, 0.396539, 0, 3.69033e-05, 0.0209458
24.5, 0.355, 0.397452, 0, 3.5752e-05, 0.0208362
24.5, 0.365, 0.398243, 0, 3.47792e-05, 0.0202944
24.5, 0.375, 0.398916, 0, 3.37841e-05, 0.0205863
24.5, 0.385, 0.399473, 0, 3.27809e-05, 0.0166636
24.5, 0.395, 0.399917, 0, 3.22325e-05, 0.0140848
24.5, 0.405, 0.400249, 0, 3.09851e-05, 0.0139781
24.5, 0.415, 0.400473, 0, 3.01666e-05, 0.0107557
24.5, 0.425, 0.400591, 0, 2.94204e-05, 0.010681
24.5, 0.435, 0.400606, 0, 2.94013e-05, 0.00275782
24.5, 0.445, 0.400521, 0, 2.84142e-05, 0.00223212
24.5, 0.455, 0.400338, 0, 2.87452e-05, 0.000395153
24.5, 0.465, 0.400058, 0, 2.76396e-05, 0.000158272
24.5, 0.475, 0.399689, 0, 2.64142e-05, 9.60733e-05
24.5, 0.485, 0.399228, 0, 2.5192e-05, 0.00012456
24.5, 0.495, 0.398683, 0, 2.42134e-05, 7.19839e-05
24.5, 0.505, 0.398052, 0, 2.35949e-05, 2.3321e-05
24.5, 0.515, 0.397342, 0, 3.91577e-05, 0.000426313
24.5, 0.525, 0.396551, 0, 3.80951e-05, 0.00077741
24.5, 0.535, 0.395684, 0, 3.75612e-05, 0.000874503
24.5, 0.545, 0.394746, 0, 3.676e-05, 0.00135666
