lt,zt,lc_lt_integrated,status,error,prob
100.5, 0.005, 0.70137, 0, 6.96297e-05, 1.12133e-14
100.5, 0.015, 0.723102, 0, 7.12699e-05, 3.20089e-14
100.5, 0.025, 0.743667, 0, 7.30205e-05, 1.13243e-13
100.5, 0.035, 0.762766, 0, 7.61928e-05, 7.81264e-13
100.5, 0.045, 0.780073, 0, 7.78676e-05, 1.1971e-12
100.5, 0.055, 0.795262, 0, 7.94659e-05, 2.24276e-12
100.5, 0.065, 0.807955, 0, 7.92013e-05, 1.96554e-12
100.5, 0.075, 0.817758, 0, 8.04683e-05, 3.88719e-12
100.5, 0.085, 0.824214, 0, 8.15068e-05, 7.07834e-12
100.5, 0.095, 0.82679, 0, 8.22299e-05, 1.72278e-11
100.5, 0.105, 0.824804, 0, 8.0673e-05, 1.46153e-11
100.5, 0.115, 0.817346, 0, 8.04074e-05, 3.20927e-11
100.5, 0.125, 0.803137, 0, 7.9426e-05, 1.00302e-10
100.5, 0.135, 0.780315, 0, 7.74982e-05, 3.54759e-10
100.5, 0.145, 0.746085, 0, 7.41583e-05, 1.21078e-09
100.5, 0.155, 0.721136, 0, 7.06749e-05, 7.77602e-09
100.5, 0.165, 0.716249, 0, 7.00879e-05, 2.61867e-08
100.5, 0.175, 0.711005, 0, 6.97005e-05, 1.81865e-07
100.5, 0.185, 0.705414, 0, 6.95088e-05, 1.85765e-06
100.5, 0.195, 0.699467, 0, 6.95896e-05, 9.42566e-06
100.5, 0.205, 0.705732, 0, 6.98012e-05, 8.83786e-06
100.5, 0.215, 0.724049, 0, 7.22662e-05, 2.34168e-06
100.5, 0.225, 0.741709, 0, 7.23735e-05, 2.74378e-07
100.5, 0.235, 0.758656, 0, 7.48275e-05, 4.11256e-08
100.5, 0.245, 0.774847, 0, 7.72575e-05, 8.70458e-09
100.5, 0.255, 0.772986, 0, 7.57127e-05, 3.4791e-09
100.5, 0.265, 0.752796, 0, 7.4568e-05, 2.22391e-08
100.5, 0.275, 0.731439, 0, 7.31174e-05, 1.02e-07
100.5, 0.285, 0.709009, 0, 6.95205e-05, 2.12061e-07
100.5, 0.295, 0.685599, 0, 6.78551e-05, 9.52471e-07
100.5, 0.305, 0.661314, 0, 6.41266e-05, 1.60187e-06
100.5, 0.315, 0.63629, 0, 6.23153e-05, 8.0132e-06
100.5, 0.325, 0.610675, 0, 6.04409e-05, 1.85921e-05
100.5, 0.335, 0.584594, 0, 5.66448e-05, 3.05074e-05
100.5, 0.345, 0.558184, 0, 5.4704e-05, 7.87899e-05
100.5, 0.355, 0.531594, 0, 5.27758e-05, 0.000166657
100.5, 0.365, 0.504919, 0, 4.91023e-05, 0.000254647
100.5, 0.375, 0.478269, 0, 4.72497e-05, 0.000700672
100.5, 0.385, 0.451729, 0, 4.3759e-05, 0.00101564
100.5, 0.395, 0.425368, 0, 4.20048e-05, 0.00224946
100.5, 0.405, 0.399247, 0, 3.87603e-05, 0.00295459
100.5, 0.415, 0.373409, 0, 3.70811e-05, 0.00550167
100.5, 0.425, 0.347873, 0, 3.40806e-05, 0.00711525
100.5, 0.435, 0.322659, 0, 3.12674e-05, 0.00836443
100.5, 0.445, 0.297774, 0, 2.86325e-05, 0.00979076
100.5, 0.455, 0.273206, 0, 2.72512e-05, 0.0129226
100.5, 0.465, 0.248952, 0, 2.48696e-05, 0.0138311
100.5, 0.475, 0.22499, 0, 2.17826e-05, 0.0122328
100.5, 0.485, 0.201285, 0, 1.98761e-05, 0.0112431
100.5, 0.495, 0.177805, 0, 1.75153e-05, 0.00657195
100.5, 0.505, 0.154517, 0, 1.50455e-05, 0.00169218
100.5, 0.515, 0.131371, 0, 1.29273e-05, 0.000285462
100.5, 0.525, 0.108327, 0, 1.07122e-05, 2.15324e-06
100.5, 0.535, 0.0853249, 0, 8.44353e-06, 1.22125e-15
100.5, 0.545, 0.0623126, 0, 6.214e-06, 1.00715e-16
