lt,zt,lc_lt_integrated,status,error,prob
1, 0.3, 3.02982e-121, 0, 7.02518e-18, -999
2, 0.3, 9.14944e-103, 0, 7.02518e-18, -999
3, 0.3, 2.5222e-85, 0, 7.02518e-18, -999
4, 0.3, 5.11357e-60, 0, 7.02518e-18, -999
5, 0.3, 2.57437e-36, 0, 7.02518e-18, -999
6, 0.3, 1.9505e-28, 0, 7.02518e-18, -999
7, 0.3, 3.99253e-21, 0, 7.02518e-18, -999
8, 0.3, 1.20578e-17, 0, 7.02518e-18, -999
9, 0.3, 2.67234e-14, 0, 3.45736e-15, -999
10, 0.3, 8.22575e-13, 0, 1.0102e-13, -999
11, 0.3, 2.33185e-11, 0, 4.01277e-13, 0.187515
12, 0.3, 5.76563e-10, 0, 7.15467e-13, 0.0428786
13, 0.3, 4.13006e-09, 0, 9.77592e-13, 7.80672e-07
14, 0.3, 2.7813e-08, 0, 2.76581e-12, 5.10703e-15
15, 0.3, 1.76253e-07, 0, 1.74526e-11, 4.25393e-14
16, 0.3, 8.0765e-07, 0, 8.01907e-11, 6.03961e-14
17, 0.3, 2.54973e-06, 0, 2.5105e-10, 3.42961e-13
18, 0.3, 7.77153e-06, 0, 7.7478e-10, 2.21182e-12
19, 0.3, 2.28775e-05, 0, 2.26205e-09, 7.92966e-12
20, 0.3, 6.50694e-05, 0, 6.46695e-09, 1.38664e-11
21, 0.3, 0.000119653, 0, 1.1896e-08, 4.73417e-11
22, 0.3, 0.00021641, 0, 2.14461e-08, 1.85613e-10
23, 0.3, 0.000384993, 0, 3.79195e-08, 2.7043e-10
24, 0.3, 0.000673735, 0, 6.69334e-08, 4.50416e-10
25, 0.3, 0.00102974, 0, 1.02729e-07, 9.14139e-10
26, 0.3, 0.00155301, 0, 1.55169e-07, 3.37126e-09
27, 0.3, 0.0023207, 0, 2.30315e-07, 1.045e-08
28, 0.3, 0.00342493, 0, 3.36257e-07, 2.59537e-08
29, 0.3, 0.00498969, 0, 4.9333e-07, 5.69457e-08
30, 0.3, 0.00717616, 0, 7.09848e-07, 3.56958e-07
31, 0.3, 0.00933993, 0, 9.19918e-07, 1.01085e-06
32, 0.3, 0.0120674, 0, 1.18138e-06, 2.98833e-06
33, 0.3, 0.0154778, 0, 1.53948e-06, 1.41364e-05
34, 0.3, 0.0197072, 0, 1.93807e-06, 3.66232e-05
35, 0.3, 0.02491, 0, 2.48292e-06, 0.000143461
36, 0.3, 0.0312567, 0, 3.06023e-06, 0.000347217
37, 0.3, 0.0386233, 0, 3.82991e-06, 0.000512437
38, 0.3, 0.0466566, 0, 4.59898e-06, 0.000950519
39, 0.3, 0.0560183, 0, 5.489e-06, 0.00190479
40, 0.3, 0.0668504, 0, 6.49627e-06, 0.00468364
41, 0.3, 0.0779137, 0, 7.61064e-06, 0.00664241
42, 0.3, 0.0904699, 0, 8.8763e-06, 0.0114877
43, 0.3, 0.104651, 0, 1.03114e-05, 0.0168296
44, 0.3, 0.120598, 0, 1.19544e-05, 0.0290497
45, 0.3, 0.138446, 0, 1.37977e-05, 0.0492104
46, 0.3, 0.158318, 0, 1.52671e-05, 0.0605654
47, 0.3, 0.180323, 0, 1.7447e-05, 0.10121
48, 0.3, 0.20296, 0, 1.98061e-05, 0.122664
49, 0.3, 0.227177, 0, 2.24855e-05, 0.146151
50, 0.3, 0.253437, 0, 2.42901e-05, 0.169571
51, 0.3, 0.281746, 0, 2.7313e-05, 0.242998
52, 0.3, 0.312052, 0, 3.06315e-05, 0.209357
53, 0.3, 0.34429, 0, 3.42982e-05, 0.266015
54, 0.3, 0.378275, 0, 3.62832e-05, 0.308996
55, 0.3, 0.413789, 0, 4.02233e-05, 0.386635
56, 0.3, 0.450544, 0, 4.45236e-05, 0.477253
57, 0.3, 0.488192, 0, 4.62906e-05, 0.519155
58, 0.3, 0.526647, 0, 5.06187e-05, 0.620314
59, 0.3, 0.566204, 0, 5.58276e-05, 0.565686
60, 0.3, 0.605153, 0, 5.71022e-05, 0.591236
61, 0.3, 0.642963, 0, 6.21964e-05, 0.63394
62, 0.3, 0.679166, 0, 6.78394e-05, 0.705204
63, 0.3, 0.713302, 0, 6.77805e-05, 0.721234
64, 0.3, 0.744978, 0, 7.31533e-05, 0.709344
65, 0.3, 0.773981, 0, 7.23582e-05, 0.69268
66, 0.3, 0.800084, 0, 7.77389e-05, 0.742925
67, 0.3, 0.823215, 0, 7.50844e-05, 0.69938
68, 0.3, 0.84338, 0, 8.15016e-05, 0.63755
69, 0.3, 0.860742, 0, 8.0008e-05, 0.562637
70, 0.3, 0.875516, 0, 7.89695e-05, 0.469164
71, 0.3, 0.887749, 0, 8.71627e-05, 0.32997
72, 0.3, 0.897703, 0, 8.57249e-05, 0.220193
73, 0.3, 0.905525, 0, 8.44831e-05, 0.120926
74, 0.3, 0.911406, 0, 8.40019e-05, 0.0429832
75, 0.3, 0.91553, 0, 8.52005e-05, 0.00983117
76, 0.3, 0.918067, 0, 8.65589e-05, 0.00104884
77, 0.3, 0.919176, 0, 9.02179e-05, 3.14412e-05
78, 0.3, 0.918999, 0, 8.41711e-05, 1.68979e-08
79, 0.3, 0.917607, 0, 8.87199e-05, 1.51956e-12
80, 0.3, 0.914874, 0, 8.55633e-05, 3.78338e-10
81, 0.3, 0.911102, 0, 8.4826e-05, 6.32783e-08
82, 0.3, 0.906347, 0, 8.50261e-05, 7.92961e-07
83, 0.3, 0.90066, 0, 8.5286e-05, 2.32616e-06
84, 0.3, 0.894053, 0, 8.64753e-05, 6.61061e-06
85, 0.3, 0.886574, 0, 8.76433e-05, 1.13368e-05
86, 0.3, 0.87822, 0, 8.38557e-05, 5.87612e-06
87, 0.3, 0.868995, 0, 8.48483e-05, 4.06857e-06
88, 0.3, 0.85891, 0, 8.56378e-05, 3.64163e-06
89, 0.3, 0.847939, 0, 8.226e-05, 2.10127e-06
90, 0.3, 0.836813, 0, 8.19563e-05, 1.78169e-06
91, 0.3, 0.825436, 0, 8.09828e-05, 1.83119e-06
92, 0.3, 0.813222, 0, 7.97488e-05, 1.58368e-06
93, 0.3, 0.800168, 0, 7.81885e-05, 9.19223e-07
