lt,zt,lc_lt_integrated,status,error,prob
1, 0.3, 2.40172e-49, 0, 7.02518e-18, -999
2, 0.3, 2.88574e-40, 0, 7.02518e-18, -999
3, 0.3, 3.16461e-32, 0, 7.02518e-18, -999
4, 0.3, 3.01897e-22, 0, 7.02518e-18, -999
5, 0.3, 7.15183e-14, 0, 5.07019e-15, -999
6, 0.3, 1.53708e-10, 0, 8.46515e-13, 0.00592789
7, 0.3, 8.84458e-08, 0, 8.73222e-12, 0.000539289
8, 0.3, 2.13686e-06, 0, 2.11465e-10, 0.0836625
9, 0.3, 3.77829e-05, 0, 3.61057e-09, 0.699034
10, 0.3, 0.000157161, 0, 1.50131e-08, 0.899348
11, 0.3, 0.000584623, 0, 5.35064e-08, 0.972356
12, 0.3, 0.0019483, 0, 1.79585e-07, 0.983747
13, 0.3, 0.00448918, 0, 4.27737e-07, 0.993988
14, 0.3, 0.00969484, 0, 8.10978e-07, 0.997397
15, 0.3, 0.0196227, 0, 1.77943e-06, 0.998946
16, 0.3, 0.0346507, 0, 2.84262e-06, 0.999184
17, 0.3, 0.0534362, 0, 4.05265e-06, 0.999288
18, 0.3, 0.0792347, 0, 7.55794e-06, 0.0216602
19, 0.3, 0.112761, 0, 9.89127e-06, 0.0210208
20, 0.3, 0.153862, 0, 1.24014e-05, 0.0187495
21, 0.3, 0.192128, 0, 1.44167e-05, 0.0179819
22, 0.3, 0.23427, 0, 1.55952e-05, 0.0228394
23, 0.3, 0.278578, 0, 2.77422e-05, 0.0330492
24, 0.3, 0.322729, 0, 2.92738e-05, 0.0430971
25, 0.3, 0.376815, 0, 2.95624e-05, 0.0394116
26, 0.3, 0.42083, 0, 2.90237e-05, 0.0261139
27, 0.3, 0.442947, 0, 2.80169e-05, 0.0170719
28, 0.3, 0.453017, 0, 4.08234e-05, 0.00621816
29, 0.3, 0.451828, 0, 2.85597e-05, 5.69744e-05
30, 0.3, 0.439943, 0, 2.93128e-05, 1.25027e-05
31, 0.3, 0.421637, 0, 3.54261e-05, 0.0190516
32, 0.3, 0.395043, 0, 2.27635e-05, 0.00875957
33, 0.3, 0.362101, 0, 2.51e-05, 0.0207252
34, 0.3, 0.324972, 0, 2.65732e-05, 0.026876
35, 0.3, 0.285813, 0, 2.69197e-05, 0.0382225
36, 0.3, 0.246569, 0, 1.66076e-05, 0.0138538
37, 0.3, 0.208582, 0, 1.55653e-05, 0.0143792
38, 0.3, 0.173134, 0, 1.39415e-05, 0.014412
39, 0.3, 0.141733, 0, 1.2128e-05, 0.013944
40, 0.3, 0.114668, 0, 1.02938e-05, 0.0159064
41, 0.3, 0.0922693, 0, 8.44504e-06, 0.0156428
42, 0.3, 0.0737391, 0, 6.69749e-06, 0.0143985
43, 0.3, 0.0586843, 0, 5.24345e-06, 0.0127531
44, 0.3, 0.0466397, 0, 4.04015e-06, 0.0108251
45, 0.3, 0.0371268, 0, 3.06261e-06, 0.0117503
46, 0.3, 0.0296916, 0, 2.30886e-06, 0.0121747
47, 0.3, 0.0239266, 0, 1.72898e-06, 0.0106054
48, 0.3, 0.0193602, 0, 1.307e-06, 0.00819553
49, 0.3, 0.0158161, 0, 9.83174e-07, 0.00989713
50, 0.3, 0.0131027, 0, 1.22217e-06, 0.024308
51, 0.3, 0.01103, 0, 9.06736e-07, 0.0327088
52, 0.3, 0.00944449, 0, 6.96887e-07, 0.0246691
53, 0.3, 0.00822487, 0, 5.22905e-07, 0.0294924
54, 0.3, 0.00727688, 0, 4.07914e-07, 0.0180278
55, 0.3, 0.00652881, 0, 6.27373e-07, 0.0330408
56, 0.3, 0.0059268, 0, 4.95314e-07, 0.037476
57, 0.3, 0.00543114, 0, 4.02478e-07, 0.0309076
58, 0.3, 0.00504918, 0, 3.45482e-07, 0.0184593
59, 0.3, 0.0048435, 0, 3.06691e-07, 0.00478789
60, 0.3, 0.00466923, 0, 2.77181e-07, 0.00351804
61, 0.3, 0.00451751, 0, 4.16105e-07, 0.000740825
62, 0.3, 0.00438182, 0, 3.72849e-07, 0.000554893
63, 0.3, 0.00425788, 0, 3.4271e-07, 0.00056581
64, 0.3, 0.00414261, 0, 3.22153e-07, 0.00048039
65, 0.3, 0.00403386, 0, 3.08251e-07, 0.000440188
66, 0.3, 0.00393012, 0, 2.99895e-07, 0.000429664
67, 0.3, 0.00383031, 0, 2.9337e-07, 0.000426591
68, 0.3, 0.00373368, 0, 2.88781e-07, 0.000426087
69, 0.3, 0.00359436, 0, 2.81385e-07, 0.00044252
70, 0.3, 0.00343768, 0, 2.71611e-07, 0.000493335
71, 0.3, 0.00328657, 0, 2.64103e-07, 0.000518391
72, 0.3, 0.00314071, 0, 2.56495e-07, 0.000545922
73, 0.3, 0.00299982, 0, 2.49253e-07, 0.000568775
74, 0.3, 0.0028637, 0, 2.42246e-07, 0.000602612
75, 0.3, 0.00273215, 0, 2.35216e-07, 0.000562297
76, 0.3, 0.002605, 0, 2.28477e-07, 0.000587065
77, 0.3, 0.00248209, 0, 2.21792e-07, 0.00063469
78, 0.3, 0.00236328, 0, 2.15048e-07, 0.000588145
79, 0.3, 0.00224876, 0, 2.08341e-07, 0.000613812
80, 0.3, 0.00214049, 0, 2.0106e-07, 0.000648738
