#cosmological_parameters--h0	cosmological_parameters--omega_m	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--log1e10as	cosmological_parameters--omega_nu	cluster_abundance--mor_a	cluster_abundance--mor_b	cluster_abundance--mor_alpha	cluster_abundance--mor_sigma	cluster_abundance--mor_epsilon	cluster_abundance--hmf_s	cluster_abundance--hmf_q	cluster_abundance--sigma_output
8.48281721e-01  3.98642747e-01  5.61697042e-02  9.27743938e-01 -2.39922237e+00  1.49937217e-02  2.06430676e+11  3.11482790e+12 6.33980916e-01  4.62669276e-01  2.25605237e+00  5.65400009e-02 1.19715618e+00  2.99273106e-01
9.58201562e-01  2.29860743e-01  5.57093919e-02  1.02828576e+00 4.74648895e+00  9.16510387e-03  2.60656837e+11  8.82571997e+12 1.17897071e+00  1.36053952e-01 -2.00377629e+00  7.26180579e-02 1.14698323e+00  6.43190854e-01
9.87943067e-01  6.37785860e-01  5.58890024e-02  1.01117864e+00 6.23095463e+00  1.81711015e-02  4.47982732e+11  2.17056326e+12 1.03115229e+00  1.80437584e-01 -4.42866609e-01  4.67343426e-02 1.14161734e+00  1.26759622e+00
8.53819190e-01 9.76143450e-01 5.30993012e-02 8.83874847e-01 3.22557581e+00 1.75194089e-02 5.19176810e+11 8.70411917e+12 9.81733612e-01 3.50081395e-01 1.34705988e+00 6.33736988e-02 1.10254195e+00 1.34930867e+00
9.97785243e-01 1.16901541e-01 5.18246893e-02 8.82123179e-01 5.81706195e+00 1.59316525e-02 3.11806933e+11 4.63395854e+12 4.65422045e-01 3.24735401e-01 3.14345668e+00 8.88206244e-02 1.05747442e+00 6.13964460e-01
7.38890887e-01  7.26762791e-01  5.59677103e-02  1.00948709e+00 6.75851844e+00  5.62828376e-03  9.05233713e+11  9.74742378e+12 5.91393413e-01  4.26472590e-01 -6.44999728e-01  2.93008824e-02 1.08122549e+00  1.31662393e+00
5.23823345e-01  5.17105339e-01  5.86029792e-02  9.80173568e-01 5.55841716e+00  9.16679465e-04  1.73454783e+11  8.74560469e+12 5.36807166e-01  2.63654494e-01 -4.19148161e-01  8.70782406e-02 1.11759756e+00  1.12823274e+00
9.09399751e-01 5.14393668e-01 5.03462831e-02 1.04923589e+00 3.09458268e+00 1.19366605e-02 1.45553736e+11 7.65137382e+12 5.63396246e-01 3.19184596e-01 4.81758310e+00 2.48261750e-02 1.12936398e+00 1.19749264e+00
7.01196582e-01  9.64897530e-01  5.80627585e-02  1.02913437e+00 4.11592663e+00  1.50013163e-02  8.45503236e+11  2.99587762e+12 6.44181263e-01  3.66034657e-01 -4.16137830e+00  8.90058810e-02 1.18735898e+00  9.97612204e-01
9.23387949e-01  5.23421922e-01  5.10120241e-02  9.90537281e-01 2.98426918e+00  1.32051813e-02  3.92234475e+11  1.98370698e+12 4.28763119e-01  4.27830424e-01 -1.25521027e+00  9.72483232e-02 1.11924889e+00  1.16967084e+00
5.35416964e-01  5.70448036e-01  5.86754168e-02  8.72116122e-01 4.75822629e-01  6.88971803e-03  9.24218035e+11  2.68637752e+12 7.69379820e-01  4.00467289e-01 -4.63222120e-01  3.09436801e-02 1.08729126e+00  1.15226622e+00
4.15968115e-01  3.50591846e-01  5.96961927e-02  9.88743264e-01 6.75394093e+00  1.68985871e-02  4.29223276e+11  4.97091401e+12 4.59486178e-01  3.67356523e-01 -4.95271060e-01  6.08564066e-02 1.10612564e+00  1.19565568e+00
8.30940338e-01 3.18425167e-01 5.12464483e-02 9.07471373e-01 5.46835473e+00 1.16003282e-03 4.77046411e+11 3.96536260e+12 9.57493521e-01 4.13905322e-01 2.87228121e+00 8.14396989e-02 1.15116169e+00 8.21616050e-01
4.59586834e-01  5.16568726e-01  5.13894293e-02  9.35355449e-01 5.30452168e+00  1.64324647e-02  2.48471312e+11  3.03491450e+12 4.36371298e-01  1.99804450e-01 -2.24334988e-01  9.01428819e-02 9.45582184e-01  1.19734143e+00
8.10761388e-01  3.58109933e-01  5.66082133e-02  9.89443280e-01 4.20164702e+00  1.08077547e-03  7.10298693e+11  8.13351895e+12 7.33372562e-01  1.56447611e-01 -3.69582439e+00  6.98402510e-02 9.24553289e-01  3.21595935e-01
7.15601562e-01  8.14944543e-01  5.27498005e-02  1.01265238e+00 -1.36613499e-01  5.63061828e-03  6.21388883e+11  5.29894318e+12 4.91338959e-01  4.61736989e-01 -4.30597665e+00  7.52416678e-02 1.09781059e+00  5.92394589e-01
